year,component,recall_count
1966,ELECTRICAL SYSTEM,2
1966,"FUEL SYSTEM, GASOLINE",3
1966,LATCHES/LOCKS/LINKAGES,1
1966,POWER TRAIN,4
1966,SEAT BELTS,2
1966,SEATS,1
1966,"SERVICE BRAKES, AIR",1
1966,"SERVICE BRAKES, HYDRAULIC",15
1966,STEERING,12
1966,STRUCTURE,3
1966,SUSPENSION,1
1966,TIRES,1
1966,TRAILER HITCHES,1
1966,VEHICLE SPEED CONTROL,6
1966,WHEELS,5
1967,ELECTRICAL SYSTEM,7
1967,ENGINE AND ENGINE COOLING,3
1967,EQUIPMENT,2
1967,EXTERIOR LIGHTING,2
1967,"FUEL SYSTEM, GASOLINE",2
1967,LATCHES/LOCKS/LINKAGES,2
1967,PARKING BRAKE,3
1967,POWER TRAIN,9
1967,SEAT BELTS,2
1967,"SERVICE BRAKES, AIR",1
1967,"SERVICE BRAKES, HYDRAULIC",38
1967,STEERING,40
1967,STRUCTURE,2
1967,SUSPENSION,8
1967,TIRES,1
1967,TRAILER HITCHES,2
1967,VEHICLE SPEED CONTROL,8
1967,VISIBILITY,2
1967,WHEELS,9
1968,ELECTRICAL SYSTEM,1
1968,ENGINE AND ENGINE COOLING,1
1968,EQUIPMENT,1
1968,EXTERIOR LIGHTING,8
1968,"FUEL SYSTEM, GASOLINE",5
1968,LATCHES/LOCKS/LINKAGES,2
1968,PARKING BRAKE,1
1968,POWER TRAIN,6
1968,SEAT BELTS,3
1968,SEATS,2
1968,"SERVICE BRAKES, AIR",8
1968,"SERVICE BRAKES, HYDRAULIC",29
1968,STEERING,33
1968,STRUCTURE,3
1968,SUSPENSION,6
1968,TIRES,4
1968,TRAILER HITCHES,5
1968,UNKNOWN OR OTHER,1
1968,VEHICLE SPEED CONTROL,10
1968,VISIBILITY,3
1968,WHEELS,5
1969,ELECTRICAL SYSTEM,4
1969,ENGINE AND ENGINE COOLING,3
1969,EQUIPMENT,5
1969,EXTERIOR LIGHTING,4
1969,"FUEL SYSTEM, GASOLINE",11
1969,LATCHES/LOCKS/LINKAGES,5
1969,PARKING BRAKE,4
1969,POWER TRAIN,8
1969,SEAT BELTS,11
1969,SEATS,5
1969,"SERVICE BRAKES, AIR",14
1969,"SERVICE BRAKES, HYDRAULIC",34
1969,STEERING,20
1969,STRUCTURE,4
1969,SUSPENSION,11
1969,TIRES,10
1969,TRAILER HITCHES,5
1969,VEHICLE SPEED CONTROL,12
1969,VISIBILITY,4
1969,WHEELS,13
1970,ELECTRICAL SYSTEM,4
1970,ENGINE AND ENGINE COOLING,3
1970,EQUIPMENT,7
1970,EXTERIOR LIGHTING,4
1970,"FUEL SYSTEM, GASOLINE",10
