year,manufacturer,recall_count
1966,CLARK EQUIP. COMPANY,2
1966,"Chrysler (FCA US, LLC)",14
1966,Ford Motor Company,11
1966,"General Motors, LLC",16
1966,Honda (American Honda Motor Co.),2
1966,INTERNATIONAL TRUCK & ENGINE CORPORATION,4
1966,"Jaguar Cars, Ltd.",1
1966,"Mercedes-Benz USA, LLC",1
1966,"RENAULT, INCORPORATED",1
1966,"Rolls-Royce Motor Cars, Ltd.",4
1966,"Volkswagen Group of America, Inc.",2
1967,"BMW of North America, LLC",1
1967,CHRYSLER CORP-OVERSEAS,1
1967,CLARK EQUIP. COMPANY,4
1967,"Chrysler (FCA US, LLC)",47
1967,FREIGHTLINER LLC,2
1967,Ford Motor Company,13
1967,GEN MTRS CORP-OVERSEAS,2
1967,"General Motors, LLC",28
1967,Harley-Davidson Motor Company,1
1967,INTERNATIONAL TRUCK & ENGINE CORPORATION,15
1967,JAGUAR ROVER TRIUMPH INC.,3
1967,"Mack Trucks, Inc.",2
1967,"Mercedes-Benz USA, LLC",2
1967,"Nissan North America, Inc.",1
1967,"Porsche Cars North America, Inc.",1
1967,"RENAULT, INCORPORATED",1
1967,"Rolls-Royce Motor Cars, Ltd.",3
1967,"SAAB CARS USA, INC.",1
1967,"SHELBY AUTOMOBILES, INC.",1
1967,SUPERIOR COACH DIV,1
1967,Toyota Motor Corporation,1
1967,"Volkswagen Group of America, Inc.",9
1967,WHITE MOTOR CORPORATION,3
1968,"ALFA ROMEO, INCORPORATED",2
1968,"AUSTIN ROVER CARS NA, INC",1
1968,"BMW of North America, LLC",2
1968,Blue Bird Body Company,1
1968,CHRYSLER CORP-OVERSEAS,1
1968,CLARK EQUIP. COMPANY,4
1968,"Chrysler (FCA US, LLC)",33
1968,"FIAT MOTORS OF N.A., INC.",1
1968,FREIGHTLINER LLC,3
1968,FRUEHAUF CORPORATION,1
1968,Ford Motor Company,10
1968,"GARWOOD IND., INC.",1
1968,GRUMMAN FLXIBLE CORP.,1
1968,"General Motors, LLC",18
1968,Harley-Davidson Motor Company,5
1968,Honda (American Honda Motor Co.),3
1968,INTERNATIONAL TRUCK & ENGINE CORPORATION,8
1968,JAGUAR ROVER TRIUMPH INC.,2
1968,"Jaguar Cars, Ltd.",1
1968,"Mack Trucks, Inc.",9
