recall_type,manufacturer,recall_count
Child Seat,ALL OUR KIDS JUVENILE PRO,1
Child Seat,"BABYHOOD INDUSTRIES, INC.",4
Child Seat,"BASIC COMFORT, INC.",2
Child Seat,BOLFORM CORPORATION,1
Child Seat,"Baby Jogger, LLC",1
Child Seat,"Baby Trend, Inc.",4
Child Seat,"Britax Child Safety, Inc.",20
Child Seat,"Buck Dandy Co., Inc.",1
Child Seat,CENTURY PRODUCTS,21
Child Seat,COLLIER-KEYWORTH,1
Child Seat,"COSCO, INC.",14
Child Seat,"Chicco USA, Inc.",1
Child Seat,"Clek, Inc.",4
Child Seat,"Columbus Trading-Partners USA, Inc.",3
Child Seat,"Combi USA, Inc.",5
Child Seat,Diono,2
Child Seat,"Dorel China America, Inc.",1
Child Seat,Dorel Juvenile Group,22
Child Seat,"Evenflo Company, Inc.",35
Child Seat,"FBS, INC.",6
Child Seat,"FISHER-PRICE, INC.",13
Child Seat,FIVE FILER BROTHERS,1
Child Seat,FRANK INDUSTRIES,1
Child Seat,ForB dba WAYB,1
Child Seat,GERRY,2
Child Seat,"Graco Children's Products, Inc.",16
Child Seat,Harmony Juvenile Products,1
Child Seat,INTERNATIONAL MANUFACTURING COMPANY,1
Child Seat,JD E-Commerce America Limited,2
Child Seat,"KOLCRAFT ENTERPRISES, INC.",16
Child Seat,Kiddy USA,1
Child Seat,"LERADO SUCCESS, INC",1
Child Seat,"MIAMODA, INC.",1
Child Seat,"Mercedes-Benz USA, LLC",1
Child Seat,"Merritt Manufacturing, Inc.",1
Child Seat,"Orbit Baby, Inc.",1
Child Seat,PRIDE TRIMBLE CORPORATION,1
Child Seat,"Peg Perego USA, Inc.",3
Child Seat,QUESTOR JUVENILE FURNITURE CO.,1
Child Seat,"R82, Inc.",1
Child Seat,"RECARO NORTH AMERICA, INC.",2
Child Seat,REX-STROLL-O-CHAIR,1
Child Seat,"Recaro Child Safety, LLC",2
Child Seat,"SAFELINE KIDS, INC.",4
Child Seat,SICARTEX AUTOZUBEHOR CURT WURSTL GMBH,1
Child Seat,STROLEE (CAR SEATS),2
Child Seat,"TEAM-TEX AMERICA, INC",2
Child Seat,"TRW Automotive, Inc.",1
Child Seat,"Thorley Industries, LLC  -DBA 4Moms",1
Child Seat,Tomy International (Learning Curve Brand,1
Child Seat,"Triple Play Products, LLC",1
Child Seat,VIRCO MANUFACTURING CORP.,2
Child Seat,"Volvo Car USA, LLC",1
Child Seat,XPORTATION SAFETY CONCEPTS,1
Equipment,1888653 Ontario Inc,1
Equipment,3M COMPANY TRAFFIC SAFETY SYSTEMS DIV.,1
Equipment,3M Transportation Safety Division,1
Equipment,"4-Star Trailers, Inc.",1
Equipment,"A&M Systems, Inc.",1
Equipment,A.L. Solutions US,1
Equipment,"AAI MOTORSPORTS USA, LLC",1
Equipment,ABADDON PRODUCTS CO.,1
Equipment,"ACCESSORIES MARKETING, INC.",1
Equipment,"ACCESSORY DIST., INC.",2
Equipment,ACCURIDE CORPORATION,8
Equipment,ACTIVE TECHNOLOGY,1
Equipment,"ADCO PRODUCTS, INC.",1
Equipment,"ADVANCE MIXER, INC.",1
Equipment,ADVANCED CARBON COMPOSITES INC.,6
Equipment,ADVANCED ENGINE MANAGEMENT,1
Equipment,"ADVANCED FUEL COMPONENTS, INC",1
Equipment,"ADVANCED POWER SYSTEMS INTERNATIONAL, IN",2
Equipment,"ADVENTIVE IDEAS, LLC",1
